order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
ada99b5f-0b2e-43f1-bc54-71d95978484a,86227d70-8ddd-412d-afed-f0739314da33,Evan Barrett,ab42baf5-1a62-4159-8b94-5703a72b0d88,Bed,Furniture,Wallet,4,93.39,2023-10-13 14:35:59,India,Chennai,Amazon,cf1b1eb5-57b2-4c3f-bbf7-ea699dbfc69d,Y,No Failure
86458243-9544-4f3d-9a53-d931823a5235,1e93fa0e-1504-485c-83ec-7faf3e7945dc,Ethan Fitzpatrick,cf5953d7-dbe5-4d28-b94e-82c741ab43df,Tablet,Electronics,Wallet,4,262.03,2021-12-02 00:36:12,South Africa,Cape Town,Meesho,fa978d48-c822-440b-8a51-e54707558b8d,N,Wallet not authorized for transaction
9032e18b-ba70-4b02-92b0-3cfc05e08879,71788497-f110-41cb-851e-c292d4af22ef,Mr. Matthew Adams,3da7b37e-444e-4cff-8114-de12b56eda10,Bread,Grocery,Internet Banking,6,318.08,2022-07-06 22:59:35,Brazil,Rio de Janeiro,Meesho,688cca91-5846-4432-8d65-9532cf6e2c38,N,Incorrect login credentials
8e989894-cc56-4592-b66f-50cfd5436361,c865f290-90b7-4b4d-9f09-6bdabd027b37,Rebecca Powell,039a3d8e-a5d2-4689-9709-813095ddf2fc,Eggs,Grocery,Wallet,4,323.27,2023-10-18 08:26:39,Australia,Brisbane,Myntra,726c8845-bcdc-4bc3-b02a-e8d9b610b05a,N,Wallet account blocked
44a573bd-d4b0-45e1-9a4e-83126a5f5829,bfb8df3d-87ae-4ea0-9077-3fad6d023678,Sandra Clements,615c6b58-e78e-42c8-b1e5-d3221ba5d98f,Headphones,Electronics,card,8,327.57,2022-01-27 22:44:36,UK,Liverpool,Amazon,debc941b-75aa-4362-8658-9364226a12f0,N,Insufficient funds
96ac0d8c-4bf1-428f-b6fa-2876081981e9,a0e86349-1ee4-4be9-9af8-2303d7a60489,Peter Kent,55fb0eef-ce57-4b10-a1a3-a11225469018,Fruits,Grocery,Internet Banking,2,186.84,2022-09-01 06:28:45,UK,Birmingham,eBay,b2949004-1887-495b-a600-9d6266702d73,N,Incorrect login credentials
942556c3-cfa7-4efd-a8b4-8209ed4e2602,792e59d9-7544-420d-a136-86a73971121e,Kimberly Wolf,4a5e207f-5624-45e5-89b3-b1dbc53ad33e,Vegetables,Grocery,Wallet,3,315.36,2021-11-09 07:14:04,India,Bangalore,Meesho,4544dde6-ffc4-43bb-b52d-bd5241ac524a,N,Insufficient balance in wallet
73e26a2c-ed6c-47fa-b6a7-9789e99e806f,2d3016c3-4f5f-4546-b80c-a503d7631e1d,Elizabeth Jones,eae24e0d-09e7-4048-b629-17e242bfef73,Biography,Books,Internet Banking,9,293.78,2023-09-24 20:54:04,South Africa,Cape Town,Myntra,87f0fb0c-c409-42cb-bf78-33f8324c0c31,N,Payment gateway timeout
02427491-091e-4ca9-9479-0244f103095e,2065eb2e-0e32-429a-b09a-9809e8252e99,John Bowen,11799674-547e-4380-8fe4-2988a5083a8d,Cookbook,Books,UPI,9,282.99,2023-07-02 15:03:46,Japan,Kyoto,Flipkart,37e43eab-556e-43aa-890c-a7cd613eb7af,Y,No Failure
7e4f4e80-a486-4403-863e-052a975bdc54,e3de567b-8d80-4958-8717-c49811b31b6e,Christina Gilmore,e80515dc-80d9-41af-8591-222990bba0b3,Golf Club,Sports,UPI,5,160.52,2022-09-17 06:34:37,South Africa,Port Elizabeth,Amazon,fe10cebf-2a5c-4ca1-a0fc-0e40dd86d639,N,Network issues
